RecordID,Artist,Title,Medium,Genre,PurchaseDate
abc01,ASAP_Rocky,Praise_The_Lord_Da_Shine,CD,hip_hop,2022-06-12
def02,Nines,Cold_Out_Here,tape,rap,2021-09-20
ghi03,Drake,Gods_Plan,vinyl,rap,2021-04-15
jkl04,Chris_Brown,With_You,CD,pop,2022-08-25
mno05,ASAP_Rocky,L$D,tape,hip_hop,2021-07-07
pqr06,Nines,I_See_You_Shining,vinyl,rap,2021-11-30
stu07,Drake,Hotline_Bling,CD,pop,2021-05-04
vwx08,Chris_Brown,Loyal,vinyl,rap,2022-01-10
yzb09,ASAP_Rocky,Fkin_Problems,tape,rap,2020-10-13
cde10,Nines,10_10,CD,hip_hop,2020-11-01
fgh11,Drake,In_My_Feelings,vinyl,pop,2021-03-12
ijk12,Chris_Brown,Forever,CD,pop,2020-12-08
lmn13,ASAP_Rocky,Peso,tape,hip_hop,2021-09-23
opq14,Nines,Traphouse,vinyl,rap,2021-02-04
rst15,Drake,Nonstop,CD,hip_hop,2021-08-21
uvw16,Chris_Brown,Dont_Judge_Me,tape,pop,2022-04-17
xyz17,ASAP_Rocky,1Train,vinyl,rap,2020-07-19
abc18,Nines,Fire_In_The_Booth,CD,rap,2022-09-05
def19,Drake,The_Ride,tape,jazz,2021-01-12
ghi20,Chris_Brown,Yeah_3X,vinyl,pop,2021-05-19
