RecordID,RentalDate,ReturnDate,RentalCustomerID 
abc01,2024-08-06,2024-08-27,xfge
def02,2024-11-07,2024-11-26,diwq
ghi03,2024-08-29, ,aptn
jkl04,2024-10-18,2024-11-28,wvoc
mno05,2024-02-05,2024-12-02,ncxv
pqr06,2024-05-23,2024-11-26,slwj
stu07,2024-04-19,2024-09-16,fewd
vwx08,2024-08-06,2024-08-22,ytkq
yzb09,2024-08-08, ,jmov
cde10,2024-02-01, ,tofg
fgh11,2024-02-28,2024-04-09,dszo
ijk12,2024-03-30,2024-08-12,uhck
lmn13,2024-02-11,2024-03-27,jibj
opq14,2024-01-28,2024-11-19,gvut
rst15,2024-01-09,2024-08-25,afjw
uvw16,2024-03-01, ,tlxv
xyz17,2024-09-03,2024-10-28,ahkp
abc18,2024-11-19,2024-11-24,ntgp
def19,2024-06-13, ,obul
ghi20,2024-04-10,2024-11-21,asgw
jkl21,2024-07-06,2024-09-21,smxv
mno22,2024-05-14,2024-10-10,mjze
pqr23,2024-01-22, ,zthk
stu24,2024-02-03, ,bxol
vwx25,2024-03-15, ,furl
yzb26,2024-04-09,2024-08-19,dqcp
cde27,2024-11-06,2024-12-13,lwdk
fgh28,2024-08-30, ,hrbw
ijk29,2024-05-18,2024-09-09,vqmc
lmn30,2024-10-01,2024-12-02,wzkl
opq31,2024-02-23, ,pufr
rst32,2024-07-12, ,ihtx
uvw33,2024-06-20,2024-11-07,ugbc
xyz34,2024-04-28, ,dftn
abc35,2024-08-11, ,bwqa
def36,2024-05-05, ,vkyf
ghi37,2024-01-08,2024-09-15,jvkh
jkl38,2024-06-10,2024-11-22,hbzl
mno39,2024-11-02,2024-11-28,khlv
pqr40,2024-08-13, ,twpn
stu41,2024-02-17,2024-04-21,hyzl
vwx42,2024-03-11, ,tqza
yzb43,2024-09-30, ,gwhv
cde44,2024-10-22,2024-11-19,rkmt
fgh45,2024-06-14, ,qzpa
ijk46,2024-07-05,2024-08-15,jpwm
lmn47,2024-03-02, ,ujhs
opq48,2024-04-26, ,xrbf
rst49,2024-01-20, ,htyk
uvw50,2024-08-22, ,emid
xyz51,2024-10-06,2024-12-14,zjks
abc52,2024-05-10, ,qndr
def53,2024-02-13, ,kduj
ghi54,2024-04-05, ,bkwr
jkl55,2024-11-01, ,skpv
mno56,2024-03-09, ,ctqg
pqr57,2024-12-01, ,bxnc
stu58,2024-07-14, ,srkt
vwx59,2024-10-19,2024-10-29,mzkl
yzb60,2024-08-02,2024-09-21,fypq
cde61,2024-07-28,2024-11-10,pkqs
fgh62,2024-06-03, ,tkcj
ijk63,2024-10-11, ,vgrw
lmn64,2024-03-28,2024-11-06,byvc
opq65,2024-05-21,2024-12-05,cpxf
rst66,2024-07-09,2024-10-18,uhlp
uvw67,2024-06-17, ,lczs
xyz68,2024-01-18, ,szxm
abc69,2024-09-14, ,ylrb
def70,2024-03-04, ,kbyd
ghi71,2024-07-02,2024-06-15,txwd
jkl72,2024-11-14,2024-12-12,qgzu
mno73,2024-08-27,2024-10-08,jzgn
pqr74,2024-02-06, ,nptk
stu75,2024-06-01, ,hyxv
vwx76,2024-12-04,2024-12-09,plnq
yzb77,2024-09-19, ,wqkl
cde78,2024-03-13, ,hwmz
fgh79,2024-10-18,2024-11-01,lgqx
ijk80,2024-07-30,2024-08-27,sfmr
lmn81,2024-06-23,2024-11-25,tnlz
opq82,2024-04-13,2024-09-07,wpjm
rst83,2024-01-11, ,lfkq
uvw84,2024-08-10,2024-11-15,vnpg
xyz85,2024-11-13,2024-12-03,xktd
abc86,2024-02-07,2024-10-25,szxu
def87,2024-09-06,2024-12-04,kqcz
ghi88,2024-05-03,2024-11-19,bzpf
jkl89,2024-04-14,2024-08-28,hdwz
mno90,2024-08-25, ,kqnx
pqr91,2024-06-08, ,pglv
stu92,2024-11-15, ,xtcz
vwx93,2024-09-08,2024-12-01,ykjw
yzb94,2024-01-05, ,qzby
cde95,2024-05-28, ,gcfw
fgh96,2024-06-04,2024-08-03,wdpz
ijk97,2024-09-19,2024-11-29,hyxv
lmn98,2024-07-13, ,plnq
opq99,2024-04-22, ,wqkl
rst100,2024-02-09, ,hwmz
